Idx	Day of Expt	Sample_Type	QC	Batch 	Order	Sample_id	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M110	M111	M112	M113	M114	M115	M116	M117	M118	M119	M120	M121	M122	M123	M124	M125	M126	M127	M128	M129
21	2014-12-08	Sample	0	1	21	sample_21	420.3	183.1	106.0	28.1	353.8	57.9	112.3	73.3	168.6			64.4	120.8	56.7	94.7	120.2	79.5	378.0		99.2	23.4	22.9	600.5	163.0	30.3	42.8	135.3	117.0	256.2	123.8	1017.3	747.5	393.5	209.8	66.4	194.3	224.2	494.0	33.5	8.0	1.3	57.8	15.8	85.8	443.9	199.9	210.4	13161.3	417.4	194.1	984.2	232.2	1681.8	1.9	238.1	42.2	1050.5	767.4	576.1	987.0	1286.4	413.1	2202.4	449.3	646.7	1111.6	142.7	621.5	34.6	76.1	45.8	324.3	142.4	32.7	361.1	178.4	455.1	50.6	150.2	283.2	401.8	98.3	760.7	171.2	86.7	134.0	41.2	241.7	1890.7	165.3	159.0	10.1	66.6	1393.8	77.8	7.6	12.8	116.0	216.1	451.2	11.7	403.4	486.7	483.5	363.6	105.9	671.4	64.0	87.5	130.0	37.5	192.3	637.7	413.9	107.2	17.1	266.8	423.5	123.2	180.3	16.1	26.1	50.8	1562.1	536.3	31.2	231.5	220.2	356.0
22	2014-12-08	Sample	0	1	22	sample_22		532.7	108.8	51.4	228.6	75.7	25.8	207.4		235.3	482.3	193.4	1599.4	295.8	157.0		80.7	276.9	142.0	71.4	109.5	1.5	1222.9	82.0	42.8	36.0	152.3		2552.8	569.1	233.2	270.1	434.3	558.6	209.2	80.8	271.4	178.0	76.4	51.0	252.0		89.5	200.9	16673.9			32822.4	999.2	654.3	1212.4	177.3	898.3	26.2	218.2	315.1	723.8	779.3	609.2	1455.6	890.9	448.2	886.7	353.7	1018.1	2662.1	301.6	608.6	77.1	309.6	124.5	95.9	166.2	84.3	649.3	708.9	809.1	73.3		768.9	1010.9		799.8	32.5	118.9	195.1	96.6	337.6	915.2	302.7	136.9		95.8	210.0	135.0		12.7	65.5	186.0	423.5	127.7	208.3	149.1	600.4	2182.2	114.8	1153.7	37.3	54.2	97.9	99.8	563.2	519.9	763.6	64.2	123.6	442.2	201.8	147.6	189.2	101.1	41.7	292.2	313.3	782.6	100.1	840.2	159.4	211.9
23	2014-12-08	Sample	0	1	23	sample_23	0.5	26.8	7.8	8.0	38.3	0.6	12.2	18.8	9.6	19.2	153.6	13.6	7547.4	50.3	18.5		6.3	26.6	13.9	6.4	4.1	4.9	140.2	16.1	0.8	4.3	9.6		29.7	1156.8	13.2	18.8	36.7		1.4	13.5	41.7	59.8	38.6	5.8		24.0	4.9	19.8	1103.9	791.8	18.5	1586.9	84.6	57.3	74.8	9.6	45.2	9.7	28.7	2.9	113.8	100.5			90.2	64.2	97.9	99.7	142.0	34.6	19.0	4.3	5.0	5.4	10.0	16.8	14.7	3.7	162.1	73.7	16.6	5.1	32.4	27.8	85.8		326.4		21.9	21.2	16.6	53.8	125.1	23.3	33.8	3.6	24.8	189.8	2.5		3.0	188.6	10.1	26.0	24.3	42.2	6.2	16.6		18.5	98.6	48.8	4.6	26.1	0.6	23.6	19.5	44.9	5.8	9.1	7.9	28.5	11.4	12.9	1.3	10.9		12.3	27.5	119.3	112.5	17.1	25.7
24	2014-12-08	Sample	0	1	24	sample_24	410.8	4235.4	145.3	31.0	2014.7	144.1	370.7	80.1	162.0	175.6		116.8	239.3	123.7	60.1	292.6	48.8	123.5	81.8	88.9	997.2	18.2	1049.3	131.2	76.0	62.3	153.3	219.3	344.3	173.2	142.6	840.3	382.6	1605.4	6596.8	0.1	252.7		160.4	134.3	359.5	237.2	20.9	454.1	1758.7			21404.9	388.9			183.6	4973.4	25.3	142.1		1212.0	2785.3		4190.4	2439.7	1897.9	710.7	0.1	2056.6	847.2	237.4	114.0	264.5	132.3	140.8	84.3	198.8	91.6	1225.3	3131.7	1751.5	60.2		709.8	2590.3	46.9	2538.8	38.8		200.6	56.2	780.7	1276.7	748.7	120.6	4.8	135.9	1364.5		10.5	11.7		737.2	437.3	0.9	320.2	196.0	1084.5	0.1	305.9	2073.8	244.8	746.6	3.1	637.3	1349.1	2078.8	1143.4	63.7	140.8	136.2	269.1	217.8	110.2	61.3	98.6	147.5	1296.6	1619.1	109.6	607.0	358.5	263.6
25	2014-12-08	Sample	0	1	25	sample_25	133.2	689.7	451.1	91.8	551.7	112.1	173.4	112.9	64.9	219.1	105.1	104.1	356.9	132.4	212.3	68.6	47.3	178.6	87.5	105.4	49.9	42.3	534.1		47.0	58.0	43.1	122.9	236.2	158.6	101.7	166.6	1103.9	208.7	3190.3	31.0	150.8	179.7	83.2	145.3	259.1	275.9	18.8	30.8	6916.2	121.5	1579.9	16769.1	749.9	455.2	919.2	74.5	1682.8	22.6	55.8	334.1	1977.9	646.9	930.7	721.4	2251.3	720.7	1648.7	1168.6	1262.3	615.0	479.6	415.6	96.8	529.5	94.8	279.3	230.5	73.2	371.6	666.7	1098.2			354.1	1231.2	7.5	793.5	6.6	51.3	146.9	50.4	450.6	819.1	183.2	188.2	73.8	122.6	225.9		10.0	37.7	74.2	56.8	647.5	182.0	224.8	244.6	536.9	40.2	184.5	778.2	84.5	58.9		30.1	509.1		166.2	1439.7	47.3	152.0	262.3	288.1	42.2	15.5	50.3	765.9	677.1	615.9	57.8	184.2	277.5	119.4
26	2014-12-08	Sample	0	1	26	sample_26	355.0	854.9	172.2	6.0	305.5	27.7	53.3	69.2	612.1	413.9	113.2	56.8	263.3	50.9	109.1	665.9	32.8	496.2	81.9	86.1	426.9	64.4	515.4	412.6	27.0	18.3	209.1	23.5	546.0	206.8	135.0	507.4	837.7	315.1	513.6	0.2	194.4	1079.7	85.8	95.4	718.2	137.8	11.4	175.5	2662.0	96.8	75.6	5812.6	266.1	373.9	2.5	481.3	519.7	15.1	453.1	157.5	2510.8	824.8	102.1	12103.0	1583.7	574.1	792.2	88.6	880.6	215.8	164.1	0.9	546.5	21.6	125.5	485.1	245.5	35.8	290.4	748.7	796.4	47.0	7.0	438.6	2474.4	275.4	452.0	19.9	0.1	145.2	49.2	290.4	1808.3	53.0	93.8	73.4	162.6	2624.2	14.0	12.0	12.6	113.2	270.6	173.3	69.3	636.2	1059.1	440.2	199.8	151.7	526.2	64.5	207.9	37.7	194.2	693.0	1798.8	315.4	32.2		908.3	876.7	265.6	172.2	9.5	37.0	433.0	473.8	172.5	34.2	116.8	193.6	133.4
27	2014-12-08	Sample	0	1	27	sample_27	80.2	178.1	126.3	27.8	253.3	16.0	16.4	36.8	44.4	15.7	25.8	25.8	53.4	29.7	79.0	53.3	39.4	493.2	58.5	43.2	5.4	70.0	314.6	151.5	17.9	78.5	34.6	14.1	213.8	26.8	3.9	78.2	364.1	15.4	60.4	13.0	6.5	44.6	29.8	89.7	39.5	182.3	5.6	11.6	1522.3	103.4	96.7	5714.2	252.4	70.9	120.9	80.7	482.4	1.4	45.6	49.2	276.3	441.8	129.7	198.1	1.7	371.9	312.6	145.5	426.0	1273.8	119.1	60.1	26.2	86.8	27.4	315.5	57.9	15.4	87.1	333.6	184.5	8.7	2.6	23.1	414.0	51.5	146.9	0.3	82.3	59.4	14.3	114.5	1442.6	59.4	41.5	11.3	26.9	392.3	64.2	4.6	10.4	53.6	40.3	1961.6	24.3	320.0	538.6	176.2	28.2	18.6	181.3	15.0	25.7	82.5	71.9	39.6		72.9	382.7	13.2	326.1	539.9	92.0	44.3	5.2	14.5	75.9	294.0	80.2		209.6	235.7	157.3
28	2014-12-08	QC	1	1	28	sample_28		494.4	74.9	40.9	152.6	21.4	41.2	50.8	37.7	152.4	81.6	39.3	87.2	31.0	28.8	160.1	24.1	137.8	57.1	30.8		62.3	114.9	157.3	19.8	20.2	14.5	14.3	104.1	36.6	19.2	97.8	358.5		80.7	13.0	40.2	242.4	36.4	32.5	13.2	173.5	8.9	127.3	566.3	167.8	76.6	8311.1	264.4		378.8	136.6	581.4	2.1	117.0	9.7	335.5	317.1	361.7	190.7	715.6	207.7	309.5	388.9	295.0	3236.7	57.9	128.5	41.2	7.4	25.3	47.8	133.5	13.2	96.1	343.9	389.7	17.4		541.8	411.5	8.0	196.1	46.4	48.3	44.2	30.3	149.6	380.3	34.9	45.5		82.2	151.3	62.8	14.6	24.7	21.6	133.8	51.1	32.1	122.1	87.8	246.0	48.1	47.6	240.2	36.1	19.4	74.5	8.3	188.1		110.9	306.5	40.8	392.1	224.3	121.5	102.8	5.8	18.8	279.4	729.4	151.5	38.0	197.4	718.8	190.6
29	2014-12-08	Sample	0	1	29	sample_29	171.2	301.7	276.6	58.5	187.8	29.0	166.3	53.6	24.5	74.3	5.7	22.8	121.6	92.2	70.7	91.1	30.4	393.1	73.8	3.5	63.7	72.1	551.7	38.5	21.2	30.3	39.9	20.6	235.5	27.5	14.1	206.8	495.2	157.4	164.2	204.5	27.1	128.9	38.8	99.1	0.2	169.9	23.2	67.3	1694.4	44.6	179.5	10818.2	271.9	199.8	183.8	187.0	995.5		217.4	91.5	300.6	422.2	377.2	237.2	1002.7	300.3	310.0	525.1	315.0	783.2	445.0	153.6	89.7	508.4	36.5	138.5	166.9	34.8	87.1	414.5	374.7	38.2	151.2	418.6	524.2	106.1	492.9	27.2	20.1	435.4	46.4	138.4	756.0	126.0	48.5	35.2	152.4	159.7	68.1	9.0	10.4	38.7	87.9	266.3	27.5	139.0	796.2	223.3	93.2	52.5	215.2	27.0	228.7	24.8	14.4	237.1	0.2	154.7	144.3	45.5	472.7	224.5	130.1	16.2	23.9	26.6	135.7	953.1	88.3	38.2	270.1	2560.3	276.4
30	2014-12-08	Sample	0	1	30	sample_30	135.8	279.2	126.3	38.8	221.0	24.3	381.5	43.6	200.0	95.1	73.6	83.7	120.2	81.5	59.3	204.5	160.3	858.8	80.3	100.6	289.5		1127.8	363.0	64.7		43.2	44.4	305.1	94.1	25.9	353.2	857.2	81.8	2.5	35.2	21.1	131.5	49.0	72.2	90.4	326.0	39.7	64.3	2053.7	442.0	96.4	15633.2	443.4	237.6	548.6	163.5	667.9	10.3	133.3	192.7	666.3	696.8	382.3	305.1	1163.7	370.6	1025.0	282.4	893.5	5663.4	201.9	177.1	113.7	52.0	31.6	201.0	96.1	29.8	62.3	743.9	207.5	12.3		563.2	688.8	196.1	238.1	151.1	30.1	116.8	64.2	288.1	3501.2	140.5	144.3	6.6	125.8	1194.8	102.2		27.6	51.6	18.3	412.3	28.5	411.0	875.3	587.1	100.7	33.3	539.4	65.1	38.4	148.1	67.2	156.2	527.3	237.5	429.9	21.6	899.6	1434.2	183.2	146.6	38.9	40.2	358.9	499.0	250.6	23.4	184.9	353.0	244.8
31	2014-12-08	Sample	0	1	31	sample_31	33.6	351.4	152.7	242.5	170.1	48.6	74.0	72.2	113.9	13.2	413.0	126.1	171.3	62.9	73.5	209.6	88.6	293.0	149.0	39.2	32.6	107.2	749.7	129.1	26.2	29.5	130.2	1.1	71.5	47.7	68.6	138.0	341.6	375.6	343.5	92.1	175.7	511.0	46.3	53.6	15.4	332.5	44.2	48.8	2606.8	96.0	132.5	16297.2	581.8	306.2	2093.8	309.6	657.3		204.9	137.0	795.5	226.8	397.4	339.3	489.9	425.9	625.3	377.1	951.3	1899.4	230.9	675.1	114.5	291.3	48.7	49.8	366.3	45.7	157.2	706.1	417.1	18.3		641.8	745.4	60.2	443.9	194.9	93.4	67.8	47.8	291.2	1213.0	160.4	66.8	35.1	83.9	304.0		9.0	14.7	79.2	20.4	281.4	68.1	134.4	333.0	531.7	340.1	76.2	382.2	105.4	40.9	52.1	25.4	302.2	129.7	200.8	69.6	162.8	142.5	971.0	316.3	313.7	40.3	37.1	415.2	595.0	330.7	19.6	252.8	409.5	296.5
32	2014-12-08	Sample	0	1	32	sample_32	78.2	767.8	290.9	58.3	227.2	38.6	29.7	118.0		173.4	77.3	64.8	97.8	98.6	108.0	95.0		66.0	113.9	24.6	38.1		423.8	17.1	25.4	7.2	26.3	27.5	62.9	23.7	18.5	217.6	1127.6		558.5		35.9		66.1	54.6		185.7	12.4	60.1	6819.3	698.3	1168.8	13531.2	490.3	249.8		202.0	375.9	7.5	292.5	81.7	209.9	551.3	508.0	603.3	647.2	809.3	1909.0	53.3	529.9	2762.6	189.8	514.4	66.2	184.5	72.6	103.4	110.5	35.3	76.3	224.7	348.6	33.9	92.4	309.9	381.1		740.0	383.0	14.0	89.5	66.2	223.4	340.4	168.6	116.1	1.4	120.6	177.5		9.4	10.5	113.6	276.3	1854.0	59.4	44.3	129.5	255.2	316.6	129.3	513.0	40.4	37.0	10.6	7.7	196.5	355.3	295.1	38.0	31.4	203.1	154.6	104.0	9.1	12.3	32.9	324.0	673.2	228.9	34.3	165.4	94.9	269.4
33	2014-12-08	Sample	0	1	33	sample_33	19.2	270.2	82.6	27.6	160.4	25.9	37.5	85.9	11.8	94.6	55.5	53.2	77.7	29.1	45.0	84.1	131.8	958.2	66.6	107.4		4.8	480.2	270.8	24.0	27.6	66.6	44.8	200.9	106.5	20.1	204.9	139.4	99.5	252.9	49.5	29.2	36.7	21.6	37.9	4.1	279.3	16.0	14.2	1108.8	737.8	97.1	10157.8	18.0	139.1	456.4	159.0	709.8	0.2	108.4	143.3	937.2	327.9	519.2	192.5	292.6	541.2	238.5	139.3	439.2	258.1	257.9	394.4	109.3	33.6	51.2	212.7	190.4	23.0	80.5	18.2	316.1	11.7	68.9	172.2	613.1	55.6	769.5	72.7	78.8	69.3	33.1	206.6	1356.0	42.6	193.0	35.3	193.8	1498.1	136.1	12.0	10.2	46.1	26.9	2498.8	36.7	99.8	315.6	406.8	258.2	51.6	465.5	80.6	434.5	223.9	13.7	295.9	108.4	325.5	31.7	49.5	392.6	458.4	150.3	140.6	8.1	17.9	58.3	432.0	75.4		207.6	1187.7	105.9
34	2014-12-08	Sample	0	1	34	sample_34	148.5	434.6	162.2	43.7	211.3	5.8	8.0	52.3	44.4	130.8	36.8	28.4	102.4	61.1	35.7		1.8	200.9		64.3	132.3	70.9	268.5	43.2	11.4	13.8	13.4	14.8	57.7	40.2	23.4	131.9	214.5	19.7	155.2	11.8	49.4	105.7	30.8	89.8	36.8	147.0	11.7		455.1	348.1	488.7	8147.9	206.5	76.8	154.1	56.7	299.6		45.6		178.5	385.6	359.9	26.7	1350.7	456.6	78.7		449.2	271.5	146.9	153.5	75.6	33.8	25.6	161.5	53.4		51.5	491.9	251.2	13.9	11.1	2503.1	617.5		381.7	317.8	25.1	51.1	29.4	119.8	386.2	20.1	25.2	13.4	55.0	241.7	25.7	8.7	10.1	33.8	6.3	76.8	12.5	45.1	180.2	207.1	74.1	40.0	199.9	22.0	56.9	58.3	18.3	86.4	40.8	176.5	71.5	12.8	104.2	149.8	79.6	86.9	4.8	16.1	103.0	461.3	168.3	49.3	98.8	643.7	93.2
35	2014-12-08	Sample	0	1	35	sample_35	68.5	268.2	343.9	70.3	43.7	84.4	28.3	99.0	0.9	48.6	295.6	50.9	244.9	105.2	109.7	29.1	49.6	84.7	3.8	26.1	28.7		831.7	69.1	14.8	47.6	49.7	16.1	158.3	66.8	89.6	82.9	482.2	143.4	2122.2	80.9	132.2	41.4	176.1	36.5	37.8	252.7	14.6	61.0	9322.6	131.9	114.9	18262.6	459.0	277.3	727.6	103.0	672.9	12.7	174.3	155.5	259.1	460.2	422.9	518.2	227.0	285.5	901.2	317.4	349.4	2279.5	104.6	86.8	48.9	119.5	85.2	74.1	142.3	71.8	85.6	364.7	329.9	56.5		0.4	432.8	15.3	406.0	175.4	100.9	104.5	52.2	209.1	499.9	78.0	32.9	53.2	41.9	129.5	49.3	8.2	24.4	99.5	78.9	265.5	90.2	160.1	104.1	287.1	847.9	64.4	494.2	35.3	39.3	48.4	385.5	541.7	380.7	213.9	182.8	75.5	179.7	134.3	98.6	64.7	2.8	44.1	266.9	616.8	508.5	37.7	389.2	178.6	234.5
36	2014-12-10	Sample	0	2	36	sample_36	190.1	286.8	12.3	10.3	32.4	26.1	20.5	25.3	27.8	121.5	0.7	25.6	227.3	73.9	51.8	64.7	4.9	113.1	10.5	38.9	176.1	30.9	271.2	35.9	12.5	4.1	78.8	3.0	134.2	18.7	25.1	327.2	234.8	53.3	64.6	14.2	50.4	226.1	52.5	50.3	270.8	16.7	7.0	105.7	1201.4	111.4	311.8	4658.9	173.1	97.5	423.7	294.1	534.8		186.1	66.7	570.6	317.3	279.5	0.2	269.0	384.5	1422.8	311.4	365.6	226.6	67.5	3.6	0.1	9.2	16.8	54.6	49.3	17.7	158.4	209.6	174.3	29.9	66.9	27945.1	248.0	9.0	196.2	72.4	34.8	45.7	20.0	124.6	425.1	53.9	46.8	14.5	37.9	254.4	36.7		4.1	22.1	28.6	90.2	18.7	41.5	121.7	233.3	12.0	88.9	299.4	24.3	25.6	36.0	22.7	381.6	182.9	137.2	25.2	15.9	108.0	42.2	49.5	61.8	6.4	28.6	87.9	325.9	429.9	13.2	169.0	19.7	67.0
37	2014-12-10	QC	1	2	37	sample_37	124.1	228.2	237.7	33.7	168.4	10.8	43.6	49.2	46.6	64.8	82.9	50.2	194.6	32.0	31.2	150.7	2.1	129.4	72.7	45.2	8.6	40.0	269.2	142.7	18.5	23.4	1.6	9.7	43.1	29.4	18.7	97.7	308.3	32.5	1.2	13.1	35.0	368.3	34.5	31.4	28.9	185.3	9.0	106.7	647.5	269.6	496.1	7895.5	261.0	163.0	452.4	128.1	619.7		61.6	115.0	448.9	333.3	543.5	23.0	753.4	279.3	228.3	148.2	301.3	3206.8	82.8	139.6	43.1	28.1	28.3	49.8	121.0	13.5	106.0	189.6	460.2		21.6	483.4	507.8		83.7	47.2	12.6	39.2	28.1	146.0	391.7	35.9	45.2	15.0	47.5	78.4	38.8	18.4	23.7	53.8	58.6	91.5	29.1	159.2	195.8	228.7	49.8	36.4	233.7	21.4	32.1	149.2	8.1	127.1	183.6	83.8	302.3	31.7	99.9	250.0	129.2	102.6	1.9	18.5	282.4	494.2	158.2	35.9	123.7	728.4	179.8
38	2014-12-10	Sample	0	2	38	sample_38	5.4	65.1	103.7	48.8	119.6	24.7	70.8	81.7	113.5	182.1	97.9	145.3	150.0	76.1	86.6	264.2	125.5	391.7	163.6	52.7	146.2	112.3	901.8	197.8	23.4	31.1	169.4	28.1	95.8	22.2	91.8	149.1	463.9	178.7		21.4	167.4	110.9	82.2	104.2		353.1	31.2	85.4	3878.5	1058.4	35.3	13237.9	570.3	206.4	561.5	152.3	863.2		169.5	63.7	809.6	647.3	263.1		583.0	882.3	511.8	153.5	1371.6	1475.2	562.3	259.4	153.2	107.5	61.8	411.8	96.0	16.8	116.3	997.0	464.8	26.0		224.3	1467.7	116.3	210.9	25.7	44.2	91.4	22.8	198.3	1281.6	180.4	91.0	40.9	79.9	190.0	113.9	10.4	19.9	106.0	52.3	252.1	67.5	129.7	922.7	543.7	90.7	73.2	414.0	44.5	207.6	43.6	52.4	294.1		196.2	152.0	71.6	549.8	621.5	108.3	221.6	29.1	33.1	358.4	1075.6	394.4	48.2	100.9	502.6	288.6
39	2014-12-10	Sample	0	2	39	sample_39	17.1	1196.7	10.9	109.8	267.5	61.1	316.6	81.6		497.9	59.4	144.6	266.5	39.1	55.0	177.6	16.5	70.6			16.0	89.8	435.6		55.6		60.2	0.1	71.1	67.7	49.3	221.7	582.7	341.1	2754.3		84.0	1423.5	63.8	146.4	119.0	70.3	61.4	46.7	8462.0	383.1	28.8	21764.9	814.2	164.2		394.9	2137.2	45.5	251.8	116.1	1246.1	1423.9		1578.0	1986.8		791.9		855.9	2007.6	155.1	459.1		177.0	62.5	0.5	94.8	41.4	362.2	2163.1	704.0	29.5		267.1	1242.8	12.6	1373.3	111.0	0.9	959.3	213.7	332.0	542.5	331.3	61.0	31.9	112.3	141.1		10.7	32.9	2.2		582.2	39.1			818.0	175.5	321.2	652.4	83.8	124.0		59.7	239.5	558.2	125.7	291.8	32.2	715.9	128.9	123.6	172.8	62.5	31.0	140.9	2131.7	850.0	79.1	255.5	118.5	323.0
40	2014-12-10	Sample	0	2	40	sample_40			77.7		493.5	32.1	107.8	204.4	17.2	51.5	163.8	225.2	222.4	56.1	79.8	424.5	131.2	277.9	136.1	306.9	190.0	148.4	634.9	327.8	90.0	48.9	412.8	918.2	192.8	133.0	112.0	154.0	316.8				202.1	203.2	72.6	97.2	46.5	303.6	19.2	157.1	193.7	466.9		13707.2	903.2	358.8		64.9	2167.5	23.0	175.4	367.9	693.1	2497.0	142.5	723.0	2392.7	1255.1		107.0	2432.1	469.9	443.2	289.6	209.4	40.9	90.7	374.8	232.7	104.9	328.4	2101.3	847.0	21.0		354.7	1446.4	339.5	1180.3	50.7	178.9	186.5	40.4	438.4	850.7	373.5	134.1	169.4	61.4	445.1	251.7	9.9	2.8	416.4	218.0	282.9	122.3	0.1	96.8	697.4	81.3	308.0	590.9	57.1	263.9		76.0	446.3		328.2	97.5	246.8	741.3	932.8	186.6	323.0	18.8	60.8	301.0	930.4	472.0	83.2	102.0	583.2	199.1
41	2014-12-10	Sample	0	2	41	sample_41	51.2	582.4	69.7	50.1	81.3	71.2		66.1	22.6	255.7	482.9	54.5	203.2	67.5	29.4	90.4	68.5	116.9	58.6	57.0	5.6	25.1	441.5	13.1	21.4	23.4	29.7	137.7	39.5	25.9	13.6	65.8	321.6	162.8	327.9	0.5	24.5	101.1	65.4	77.0	10.0	139.6	20.5	21.5	1724.2	31.3	282.0	9617.0	485.2	36.4	8.7	88.8	838.1		118.8	84.4	672.0	1408.3	202.8	646.8	153.0	411.6	251.5	135.1	288.9	1160.4	103.3	78.3	92.1	110.0	36.4	54.6	65.5	22.2	60.9	870.4	499.0	42.5	38.5	471.6	115.9	39.0	1358.3	9.3	0.2	97.2	75.8	198.6	253.2	33.0	46.7	23.8	101.1	99.0		10.1		66.0	130.6	121.2	31.1		74.1	250.9	73.0	39.1	370.2	36.2		3.5	30.9	206.5	79.4	134.1	138.5	13.3	358.0	74.1	10.7	20.4	19.6		135.0	863.8	281.3	47.4	94.6	52.4	98.4
42	2014-12-10	Sample	0	2	42	sample_42	4.1	40.8		8.7	25.8	11.7	10.5	9.3		24.2	20.6	4.8	406.4	13.3	7.9	13.5	7.5	14.5	4.5		8.7	1.2	84.5	5.2	6.8	4.2	4.3		602.3	58.1	19.6	11.2	65.3	6.6	37.2	3.9	16.8	9.8	6.4	1.8	23.9	13.9	6.9	0.6	669.1	18.7	52.9	988.0	37.7	45.9	27.9	27.6	40.2	6.5	18.1		1.0	31.4		15.9	6.5	30.2	141.6	22.7	25.6	203.4	10.8	12.4	4.6	15.6	4.4	10.0	10.1		21.6	30.2	54.9	2.3	4.1	18.5	24.5		33.7	12.1	6.3	8.4	2.5	17.3	47.4	12.9	10.9	3.0	5.6	30.1		8.9	5.5	36.6	3.8		4.5	13.7	13.9	23.4	68.7	12.5	13.7		30.4		10.7	34.2	2.2	37.4	8.6	1.7	38.7	33.0	12.5	7.6	8.8	3.4	25.9	3.3	43.3	7.9	32.5		22.4
43	2014-12-10	Sample	0	2	43	sample_43	77.9	307.8	31.0	13.8	180.1	27.6	63.8	68.1	106.4	87.1	562.4	32.4	191.8	241.5	19.1	160.2	64.9	211.7	41.0	117.9			412.5	132.7	11.8	11.1	45.9	38.9	197.8	16.7	86.9	0.6	200.7	8.3	122.0	32.6	79.6	165.9	33.1	3.1	113.0	114.6	10.7	1.7	1157.4	202.9	26.1	6953.0	209.6	778.1	29.7	62.7	228.3		745.4	93.5	299.7	165.1	420.3	51.7	165.9	346.7	532.7	1256.9	243.4	199.4	33.0	32.7	87.1	1.7	118.2	156.6	43.6	6.3	522.5	178.5	378.2	25.5	43.1	262.8	140.6	328.8	62.5	229.2	21.4	163.0	53.2	94.7	405.4	58.3	46.6		45.2	461.1	43.0	9.3	10.5	39.9	113.3		9.6	180.5	864.1	236.5	177.5	57.5	216.8	16.4	39.4	48.6	11.1	155.0	332.5	346.1	57.9	36.5	144.8	640.8	33.6	163.6	8.3	20.9	440.5	623.9	161.5	40.3	23.7	824.2	119.4
44	2014-12-10	Sample	0	2	44	sample_44	21.0	64.8		8.2	30.9	6.2		12.9	46.5	22.7	27.7	41.1	55.2	0.2	28.3	22.8	2.1	83.5	16.6		15.1		123.2	26.7	13.8	7.3	3.3	203.9	27.9	32.1	17.8	133.3	77.4	26.0		13.6	13.0	61.7	0.5	18.4	3.9	63.0	44.8	6.5	49.9	223.6	213.6	1731.1	102.8	147.6	2.1	31.2	113.6	1.4	32.1	65.4	11.0	152.4	172.2	64.5	230.2	23.4	93.6	436.1	147.6	68.7	55.9	43.0	15.8	9.1	4.4	90.9	87.0	2.3	58.3	30.5	171.9	4.0	109.7	52.6	130.8	165.2	80.3	4.4	19.1	63.2	6.8	32.3	358.5	28.3	11.7	5.8	15.1	297.8	16.5	9.3	11.1	0.6	9.6	63.1	3.9	124.5	152.3	76.8	90.6	7.8	41.5	10.1	9.8	28.9	12.7	64.0	91.0	71.3	13.7	46.8	148.7	263.7	104.8	25.2	53.5	2.5	52.9	92.1	158.0	10.3	28.4	38.0	76.7
45	2014-12-10	Sample	0	2	45	sample_45	14.8	383.3	40.7	72.7	67.3	18.6	16.3	50.4	27.0	161.5	174.0	61.8	189.1	114.1	44.3	43.4	19.0	54.7	48.0	36.9		35.7	961.7	40.7	11.5	12.3	50.6		21.7	8.5	50.2	178.4	500.0	114.3	254.9	12.4	70.3	106.6	39.2	90.3	155.1		6.6	57.6	9541.8	447.9	165.1	7285.3	317.6	165.6	421.6	185.1	633.5	14.7	179.4	145.9	535.4	460.0	175.6	401.1	491.6	381.3	1601.6	255.6	222.8	1025.2	54.9	46.1	27.9	28.6	50.9	128.7	82.0	16.1	92.5	153.4	377.4	22.5	85.6	153.2	555.3		227.8	273.2	60.8	98.4	19.4	168.8	162.6	99.1	84.1	3.6	66.9	124.2	124.6	7.0	9.9	13.7	33.0	160.4	34.1	197.0	102.1	197.4	178.0	58.4	263.8	32.9	27.8	96.6	206.0	407.3	15.2	199.0	78.0	18.3	40.1	73.5	121.1	48.5	5.9	27.0	97.7	153.4	148.7	20.5	230.1	115.9	76.8
46	2014-12-10	QC	1	2	46	sample_46	84.0	285.4	192.8	35.5	196.5	18.6	42.7	47.1	31.6	49.9	94.7	46.9	196.8	25.7	30.3	170.4		147.8	171.6	67.0	50.8	11.2	298.0	154.1	15.9	20.7		22.1	57.0	29.2	17.8	92.8	290.3	36.2	112.8	14.9	35.9	147.0	33.8	16.9	34.7	189.4	7.0	97.2	595.7	90.8	506.8	7905.6	238.4	145.1	455.2	128.9	542.6	2.6	34.9	88.0	284.2	211.5	536.8	134.6	757.3	238.6	295.6	407.2	241.8	3144.8	83.5	142.2	43.3	36.6	28.1	52.5	131.8	10.8	104.1	257.9	342.1			484.9	406.8		131.0	61.9	23.9	46.9	7.8	139.7	380.2	40.2	44.3	14.7	70.5	99.5	30.9	14.1	24.3	34.7	63.7	44.5	28.3	65.5	174.7	265.3	50.2	33.5	227.2	16.8	40.8	124.4	7.8	194.7	46.6	85.5	294.2	34.5	357.0	201.5	146.1	93.0		17.6	259.9	614.8	59.7	36.6	150.9	659.3	161.2
