Idx	Day of Expt	Sample_Type	QC	Batch 	Order	Sample_id	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M110	M111	M112	M113	M114	M115	M116	M117	M118	M119	M120	M121	M122	M123	M124	M125	M126	M127	M128	M129
11	2014-12-08	Sample	0	1	11	sample_11	36.5	190.1	153.1	47.4	146.5	26.9	20.6	64.4	42.2	64.6	38.5	42.5	96.9	42.0	62.2	5.9	7.9	208.9	68.0	22.8	32.0	19.0	273.0	15.2	16.4	27.1	25.0	61.4	29.3	15.6	17.1	123.8	555.4	93.0	175.4	41.1	27.9	102.7	36.8	27.5	14.7	192.5	16.2	24.8	2698.3		64.6	10740.2	360.5	153.3	459.0	250.3	442.0	5.2	52.5	49.0	385.9	182.3	236.2	99.1	428.7	411.6	455.0	95.8	418.6	2488.8	148.6	88.3	21.1	64.9	26.7	112.6	47.8	11.6	139.4	412.2	199.1	8.0		127.4	435.3	27.4	224.6	152.4	22.0	89.2	55.9	189.8	528.2	42.8	127.8	21.9	104.9	160.5	47.4	9.0	5.5	21.6	44.5	24.7	23.0	21.8	262.1	308.4	131.9	87.6	245.7	41.7	11.5	132.6	88.5	78.8	124.6	28.7	57.9	16.7	154.3	147.7	39.3	12.4	12.0	25.0	116.7	222.1	234.2	8.2	132.0	123.2	178.3
12	2014-12-08	Sample	0	1	12	sample_12	93.5	525.3	215.8	45.0	62.6	12.8	42.4	68.0	128.3	66.5	100.7	72.1	103.8	45.5	60.8	67.7		128.2	26.7	54.5		56.7	784.2	95.3	14.2	25.0	48.2	19.1	21.0	20.0	62.5	81.5	170.7	72.6	102.5	13.4	121.2	100.9	24.5	42.2	81.6	24.8	5.4	63.4	4204.6	74.3	71.7	10176.8	365.5	131.9	289.6	172.7	441.9		55.3	82.0	199.1	336.4	286.5	474.6	599.4	366.3	1100.3	221.2	204.4	1079.7	223.0	91.4	61.2	42.8	38.8	135.5	78.0	21.6	74.6	420.7	320.8	12.8	23.4	51.2	590.8	20.8	436.8	10.5	53.7	156.0	28.4	156.6	353.3	32.2	85.9	24.5	33.9	84.7	36.7	9.9	8.4	22.0	60.5	102.4	43.3	98.8	56.0	328.4	176.3	88.1	356.4	28.1	98.4	108.5	15.1	120.9	64.9	117.1	352.1	35.3	203.2	166.4	83.4	31.7	5.4	17.2	379.8	433.6	270.1	46.3		159.4	185.6
13	2014-12-08	Sample	0	1	13	sample_13		205.9	19.6	40.9	106.9	25.0	9.5	62.7	60.7	49.6	58.2	32.9	471.4	123.6	83.1	62.5	4.7	153.1	29.9	64.8	49.8	27.6	581.2	88.1	15.9	23.9	46.9	19.5	867.9	153.6	43.4	157.1	228.4	142.7	113.2	75.2	72.6	206.4	76.0	44.7	32.3	135.4	11.5	28.4	1665.2	89.3	82.1	11410.2	344.9	106.1	503.3	204.4	499.4	4.7	183.7	100.6	32.8	332.1	341.9	213.3	341.2	667.7	544.1	195.1	513.8	81.8		499.5	62.9	101.9	30.8	136.9	57.5	19.6	32.6	203.5	224.7	35.0		230.1	524.6	59.4	161.5	259.5	26.8	78.0	27.1	158.3	634.2	98.0	42.6	23.7	65.6	371.4		9.3	10.3	91.4	46.4	121.4	28.6	69.3	257.7	239.4	143.5	50.5	300.9	30.7	39.9	42.4	38.0	157.6	268.9	255.9	16.3	7.1	125.7	180.3	93.9	146.1	9.4	27.2	133.2	297.5	181.5	32.6	79.1	48.8	190.4
14	2014-12-08	Sample	0	1	14	sample_14	52.1	94.7	68.2	26.0	95.5	9.0	10.4	26.4	5.4	77.3	215.0	72.2	133.0	19.1	39.3	40.3		140.8	44.6	45.8	53.3		256.0	30.3	5.1	13.8	25.6	2.4	47.1	17.4	22.1	154.5	26.8	51.8	29.0	12.7	52.7	75.1	26.6	39.0	7.9	40.6	5.9	21.2	1829.8	130.5	51.4	5353.5	224.7	109.2	380.8	151.3	348.1		28.8	94.8	241.1	393.3	201.6	354.1	296.0	162.6	398.5	66.4	160.6	2271.2	196.6	173.9	31.4	15.4	30.0	153.7	81.8	10.1	61.0	320.5	283.5	7.0		48.9	407.0	17.7	1563.9	152.6	48.7	51.6	21.6	117.2	830.0	41.3	32.0	10.2	71.0	513.3	25.0	0.8	10.5	30.6	19.7	0.5	38.5	125.4	329.0	288.0	63.8	23.3	197.8	22.6	18.2	48.9		111.7	749.1	80.8	101.0	10.4	1090.3	163.2	45.2	25.5		13.4	227.6	203.1	125.7	30.1	98.9	220.1	113.4
15	2014-12-08	Sample	0	1	15	sample_15		250.3	59.1	70.6	65.4	20.5	26.2	81.2			73.7	40.1	73.8	95.8	48.8	134.5	9.4	72.1	53.8	99.1	87.0	16.8	655.5	73.9	13.5	39.9	35.0	12.6	50.8	11.6	1.2	177.9	331.3	214.7	120.1	49.3	48.6	156.7		51.7	124.1	227.5	18.8	76.7	6638.9	233.2	75.4	15850.5	515.7	143.4	654.4	211.2	615.1	2.7	122.9	135.7	503.7	203.2	234.4	343.7	504.9	460.5	421.7	483.5	753.7	1109.6	76.2	753.5	60.9	111.3	34.1	148.0	121.9	18.7	159.5	342.5	452.8	28.3	377.7	539.2	692.8		193.6	181.7	5.9	79.4	44.1	166.3	451.7	157.8	110.7		91.9	364.5		9.3	13.2		67.1	2210.3	38.6	88.3	238.7	269.0	289.8	21.1	341.3	23.0	32.9	9.3	48.6	153.5	59.0	33.2	26.9	47.0	274.3	194.8	71.4	83.7		26.5	261.8	448.1	224.4	50.6	406.3	404.7	129.5
16	2014-12-08	Sample	0	1	16	sample_16		29.8	41.1		193.1	15.6	72.9	30.7	38.4	47.7	21.5	28.1	252.5		91.9	54.5	24.0	168.2	91.2	39.7	31.4	91.7	186.6	115.9	16.1	41.5	27.0	2281.2	80.3	17.5	21.4	177.3	192.7			10.9	32.7	70.2	7.7	73.7	7.0	115.5	9.5	39.4	1002.9	38.8	20.2	3227.2	191.5	451.8	257.0	3337.3	718.2	24.4	70.0	35.7	84.3	1134.5	179.0	261.2	352.9	43.1	182.8	142.0	389.5	1726.2	127.3	29.4	90.1	23.9	11.2	132.1	121.8	8.6	89.0	658.9	86.6	5.1		47.2	591.3	14.9	4651.9	8.0	17.5	42.0	16.1	80.1	908.5	20.2	51.0	10.4	43.7	749.0		8.2	3.2	15.7	74.1	1753.8	16.3	243.4		158.2	85.9	19.2	292.3	24.1	11.8	84.0	63.8	632.0	143.4	205.9	141.7	172.6	27.1	309.4	92.9	43.6	9.4	8.6		495.1	152.7	25.2	80.7	280.6	81.8
17	2014-12-08	Sample	0	1	17	sample_17	62.5	123.5	99.7	51.1	45.0	40.4	58.0	70.5	27.0	122.8	161.9	18.5	271.8	159.2	69.7	79.5	80.0	222.4	9.5	73.1	63.0	55.6	489.3	277.5	25.8	24.6	84.1		181.3	54.0	62.1	219.7	473.1	137.7	70.8	73.2	72.6	20.4	31.2	28.1	21.6	314.9	23.1	48.9	3904.7	213.4	1107.3	11029.1	136.4	248.6	575.7	111.7	409.0	0.6	206.6	124.4	432.9	20.0	324.7	190.0	102.9	383.7	876.6	308.9	367.1	205.0	83.5	134.8	60.0	183.2	88.3	173.8	80.2	19.3	90.5	253.6	65.0	4.6	53.4	205.6	455.3	32.7	446.0	75.9		101.5	39.1	182.9	573.9	85.9	35.8	5.8	93.5	232.7	57.5	8.6		127.9	140.9	182.2	47.0	207.0	328.1	327.7	32.6	91.9	176.3	56.0	305.4	84.8	12.3	94.3	899.7	228.1	35.9	33.7	174.1	520.9	41.1	109.3	24.5	24.5	376.0		256.0	30.6	246.6	206.0	199.9
18	2014-12-08	Sample	0	1	18	sample_18	0.9	225.3	173.3	13.4	51.2	7.1	23.6	27.9		109.0	58.2	19.3	101.0	25.4	24.8	34.7			2.6	21.6			194.9		5.3	2.0			20.7	8.3	3.6	81.2	136.4	65.3	783.6	4.5	5.3	23.2	5.9	22.8		12.8	5.5	40.1	1092.9	95.3	34.5	4778.0	127.0	11.3	135.6	104.6	267.5	1.5	39.6	29.3	152.5	171.1	123.9	185.2	193.5	135.9	528.7	81.2	138.6	161.0		0.1	23.7	35.0	7.9	16.7	16.0	5.2	37.7	168.5	156.8	6.6	0.9	266.9	249.9		111.0	74.1	38.2	42.4	9.5	54.5	89.6	30.0	28.5		33.4	12.9	26.8		5.0	32.7	58.2	40.8	0.1		11.8	52.6	11.0	31.9	85.2	0.5	34.9	28.5	15.4	58.0	45.3	54.8	11.6	26.6	51.8	6.2	21.0	28.0	6.1	10.6	4.9	420.0	84.8	9.1	60.8	1.0	47.9
19	2014-12-08	QC	1	1	19	sample_19	154.3	306.9	191.9	40.4	180.1	18.6	46.1	49.9	39.3	101.0	96.1	80.7	90.7	31.4	28.1	153.4	2.4	104.6	116.3	57.0	59.5		319.7	101.1	14.3	21.0	16.4	10.0	43.4	32.1	17.6	98.5	364.3	39.8	91.1	14.8	32.9	372.1	33.8	46.3	85.2	184.5	8.4	25.4	555.9	187.1	461.3	7700.8	252.9	103.8	332.8	133.9	517.2	0.5	77.6	109.5	401.1	204.6	374.9	12.7	583.9	234.0	133.6	339.2	287.6	3105.5	165.2	171.5	39.6	36.3	31.6	2.1	136.6	11.6	98.5	519.3	492.1		20.3	237.2	221.6	9.0	125.6	36.5	30.8	47.7	16.2	144.4	390.3	30.9	44.1		66.6	250.8	92.5	18.2	23.9	7.9	67.8	105.4	31.9	87.4	108.7	259.3	50.6	31.5	239.6	11.8	97.1	119.3		145.3	161.1	81.6	300.2	40.0	113.8	207.5	125.1	76.2	4.0	17.8	271.9	403.8	319.9	35.6	162.7	684.0	171.3
20	2014-12-08	Sample	0	1	20	sample_20	216.3	422.2	96.7	23.7	13.4	39.6	12.1	47.2	42.5	0.1	446.6	36.9	346.8	64.9	67.4	52.7	19.2	357.3			3.4	38.4	433.4	149.5	17.1	13.8	81.0	9.7	130.3	346.3	66.8	421.9	383.6	21.3	284.4	97.6	169.9	140.1	113.2	62.1	169.2	112.3	8.3	154.1	3099.9	228.7	157.8	7829.2	298.1	287.5	488.6	313.6	596.4	9.0	404.4	106.9	580.9	404.9	113.9	0.2	411.0	634.1	1324.3	208.4	311.5	476.7	107.0	40.8	35.9	48.8	48.4	9.6	99.0	25.5	252.2	205.0	154.1	0.5	37.3	514.0	686.4	60.6	249.8	134.3	52.3	57.2	35.2	171.2	1168.6	75.1	127.5	7.0	71.9	899.9	49.5	9.4	6.3	198.2	125.2		39.1	239.6	149.4	286.4	54.1	107.5	573.9	60.1	38.1	202.1	51.8	424.1	5.0	310.3	6.9	23.8	319.8	256.0	38.1	114.4	9.0	17.7	463.5	355.6	256.6	25.1	219.7	103.7	134.4
